/Users/nonghotdog/Projects/BotandLife/web-application/model/wed/venv/lib/python3.10/site-packages/google/api_core/_python_version_support.py:255: FutureWarning: You are using a Python version (3.10.19) which Google will stop supporting in new releases of google.api_core once it reaches its end of life (2026-10-04). Please upgrade to the latest Python version, or at least Python 3.11, to continue receiving updates for google.api_core past that date.
  warnings.warn(message, FutureWarning)
/Users/nonghotdog/Projects/BotandLife/web-application/model/wed/venv/lib/python3.10/site-packages/ee/deprecation.py:215: DeprecationWarning: 

Attention required for JAXA/ALOS/AW3D30/V3_2! You are using a deprecated asset.
To make sure your code keeps working, please update it.
This dataset has been superseded by JAXA/ALOS/AW3D30/V4_1

Learn more: https://developers.google.com/earth-engine/datasets/catalog/JAXA_ALOS_AW3D30_V3_2

  warnings.warn(warning, category=DeprecationWarning)
--- สุ่มค่าพิกเซล ความสูง (Elevation) และ ความลาดชัน (Slope) ดิบ ---
พิกัดทดสอบ: ดอยอินทนนท์
Elevation: 2503.00 m | Slope: 19.33 degrees
Elevation: 2508.00 m | Slope: 21.75 degrees
Elevation: 2502.00 m | Slope: 24.52 degrees
Elevation: 2493.00 m | Slope: 24.37 degrees
Elevation: 2480.00 m | Slope: 22.12 degrees
Elevation: 2473.00 m | Slope: 21.22 degrees
Elevation: 2464.00 m | Slope: 21.01 degrees
Elevation: 2541.00 m | Slope: 13.58 degrees
Elevation: 2543.00 m | Slope: 8.07 degrees
Elevation: 2544.00 m | Slope: 4.83 degrees
Elevation: 2544.00 m | Slope: 4.83 degrees
Elevation: 2537.00 m | Slope: 10.73 degrees
Elevation: 2520.00 m | Slope: 23.14 degrees
Elevation: 2516.00 m | Slope: 20.01 degrees
Elevation: 2535.00 m | Slope: 14.52 degrees
Elevation: 2543.00 m | Slope: 29.43 degrees
Elevation: 2548.00 m | Slope: 18.64 degrees
Elevation: 2552.00 m | Slope: 9.35 degrees
Elevation: 2555.00 m | Slope: 4.75 degrees
Elevation: 2555.00 m | Slope: 1.35 degrees
Elevation: 2554.00 m | Slope: 4.04 degrees
Elevation: 2552.00 m | Slope: 4.75 degrees
Elevation: 2551.00 m | Slope: 8.99 degrees
Elevation: 2551.00 m | Slope: 22.29 degrees
Elevation: 2561.00 m | Slope: 14.08 degrees
Elevation: 2573.00 m | Slope: 3.02 degrees
Elevation: 2576.00 m | Slope: 10.03 degrees
Elevation: 2576.00 m | Slope: 13.82 degrees
Elevation: 2568.00 m | Slope: 13.51 degrees
Elevation: 2563.00 m | Slope: 13.51 degrees
Elevation: 2556.00 m | Slope: 11.36 degrees
Elevation: 2551.00 m | Slope: 11.91 degrees
Elevation: 2544.00 m | Slope: 18.48 degrees
Elevation: 2531.00 m | Slope: 19.49 degrees
Elevation: 2523.00 m | Slope: 15.94 degrees
Elevation: 2514.00 m | Slope: 10.77 degrees
Elevation: 2512.00 m | Slope: 6.92 degrees
Elevation: 2507.00 m | Slope: 14.17 degrees
Elevation: 2497.00 m | Slope: 21.07 degrees
Elevation: 2484.00 m | Slope: 19.49 degrees
Elevation: 2476.00 m | Slope: 25.10 degrees
Elevation: 2456.00 m | Slope: 32.27 degrees
Elevation: 2547.00 m | Slope: 11.29 degrees
Elevation: 2547.00 m | Slope: 8.54 degrees
Elevation: 2546.00 m | Slope: 5.68 degrees
Elevation: 2547.00 m | Slope: 5.68 degrees
Elevation: 2541.00 m | Slope: 6.08 degrees
Elevation: 2528.00 m | Slope: 19.69 degrees
Elevation: 2525.00 m | Slope: 22.44 degrees
Elevation: 2530.00 m | Slope: 18.44 degrees
Elevation: 2538.00 m | Slope: 14.95 degrees
Elevation: 2541.00 m | Slope: 13.92 degrees
Elevation: 2544.00 m | Slope: 16.38 degrees
Elevation: 2546.00 m | Slope: 23.10 degrees
Elevation: 2550.00 m | Slope: 21.23 degrees
Elevation: 2554.00 m | Slope: 14.99 degrees
Elevation: 2558.00 m | Slope: 1.35 degrees
Elevation: 2553.00 m | Slope: 6.08 degrees
Elevation: 2553.00 m | Slope: 18.97 degrees
Elevation: 2554.00 m | Slope: 21.95 degrees
Elevation: 2572.00 m | Slope: 15.30 degrees
Elevation: 2573.00 m | Slope: 12.72 degrees
Elevation: 2576.00 m | Slope: 11.04 degrees
Elevation: 2569.00 m | Slope: 15.94 degrees
Elevation: 2565.00 m | Slope: 15.94 degrees
Elevation: 2552.00 m | Slope: 16.24 degrees
Elevation: 2548.00 m | Slope: 12.60 degrees
Elevation: 2540.00 m | Slope: 16.93 degrees
Elevation: 2530.00 m | Slope: 20.99 degrees
Elevation: 2517.00 m | Slope: 22.24 degrees
Elevation: 2506.00 m | Slope: 12.25 degrees
Elevation: 2506.00 m | Slope: 12.31 degrees
Elevation: 2504.00 m | Slope: 13.89 degrees
Elevation: 2495.00 m | Slope: 20.54 degrees
Elevation: 2483.00 m | Slope: 21.84 degrees
Elevation: 2471.00 m | Slope: 24.77 degrees
Elevation: 2456.00 m | Slope: 25.17 degrees
Elevation: 2552.00 m | Slope: 5.53 degrees
Elevation: 2550.00 m | Slope: 6.83 degrees
Elevation: 2548.00 m | Slope: 6.83 degrees
Elevation: 2547.00 m | Slope: 3.02 degrees
Elevation: 2539.00 m | Slope: 9.73 degrees
Elevation: 2536.00 m | Slope: 17.88 degrees
Elevation: 2535.00 m | Slope: 19.53 degrees
Elevation: 2544.00 m | Slope: 16.97 degrees
Elevation: 2543.00 m | Slope: 7.56 degrees
Elevation: 2535.00 m | Slope: 12.78 degrees
Elevation: 2530.00 m | Slope: 3.43 degrees
Elevation: 2533.00 m | Slope: 12.03 degrees
Elevation: 2540.00 m | Slope: 23.09 degrees
Elevation: 2553.00 m | Slope: 17.01 degrees
Elevation: 2556.00 m | Slope: 0.00 degrees
Elevation: 2556.00 m | Slope: 2.13 degrees
Elevation: 2553.00 m | Slope: 19.37 degrees
Elevation: 2558.00 m | Slope: 18.88 degrees
Elevation: 2560.00 m | Slope: 21.98 degrees
Elevation: 2563.00 m | Slope: 10.51 degrees
Elevation: 2564.00 m | Slope: 14.02 degrees
Elevation: 2561.00 m | Slope: 14.02 degrees
Elevation: 2552.00 m | Slope: 15.62 degrees
Elevation: 2545.00 m | Slope: 12.76 degrees
Elevation: 2541.00 m | Slope: 13.65 degrees
Elevation: 2531.00 m | Slope: 20.99 degrees
Elevation: 2518.00 m | Slope: 21.97 degrees
Elevation: 2507.00 m | Slope: 17.79 degrees
Elevation: 2499.00 m | Slope: 12.62 degrees
Elevation: 2497.00 m | Slope: 18.14 degrees
Elevation: 2489.00 m | Slope: 20.11 degrees
Elevation: 2483.00 m | Slope: 20.98 degrees
Elevation: 2470.00 m | Slope: 22.87 degrees
Elevation: 2459.00 m | Slope: 20.62 degrees
Elevation: 2552.00 m | Slope: 1.90 degrees
Elevation: 2552.00 m | Slope: 5.79 degrees
Elevation: 2546.00 m | Slope: 5.79 degrees
Elevation: 2546.00 m | Slope: 6.02 degrees
Elevation: 2544.00 m | Slope: 3.43 degrees
Elevation: 2546.00 m | Slope: 9.42 degrees
Elevation: 2547.00 m | Slope: 10.71 degrees
Elevation: 2551.00 m | Slope: 12.48 degrees
Elevation: 2549.00 m | Slope: 3.91 degrees
Elevation: 2548.00 m | Slope: 12.17 degrees
Elevation: 2549.00 m | Slope: 19.92 degrees
Elevation: 2542.00 m | Slope: 14.51 degrees
Elevation: 2538.00 m | Slope: 6.66 degrees
Elevation: 2549.00 m | Slope: 14.08 degrees
Elevation: 2553.00 m | Slope: 4.26 degrees
Elevation: 2553.00 m | Slope: 3.00 degrees
Elevation: 2553.00 m | Slope: 4.74 degrees
Elevation: 2552.00 m | Slope: 6.62 degrees
Elevation: 2553.00 m | Slope: 15.54 degrees
Elevation: 2552.00 m | Slope: 17.85 degrees
Elevation: 2558.00 m | Slope: 16.49 degrees
Elevation: 2556.00 m | Slope: 16.60 degrees
Elevation: 2547.00 m | Slope: 16.60 degrees
Elevation: 2540.00 m | Slope: 12.76 degrees
Elevation: 2536.00 m | Slope: 11.49 degrees
Elevation: 2530.00 m | Slope: 15.62 degrees
Elevation: 2520.00 m | Slope: 19.33 degrees
Elevation: 2509.00 m | Slope: 21.01 degrees
Elevation: 2497.00 m | Slope: 20.18 degrees
Elevation: 2487.00 m | Slope: 17.95 degrees
Elevation: 2478.00 m | Slope: 17.04 degrees
Elevation: 2470.00 m | Slope: 15.82 degrees
Elevation: 2463.00 m | Slope: 8.74 degrees
Elevation: 2550.00 m | Slope: 6.89 degrees
Elevation: 2549.00 m | Slope: 4.74 degrees
Elevation: 2550.00 m | Slope: 4.74 degrees
Elevation: 2550.00 m | Slope: 2.13 degrees
Elevation: 2549.00 m | Slope: 3.00 degrees
Elevation: 2547.00 m | Slope: 7.21 degrees
Elevation: 2548.00 m | Slope: 3.91 degrees
Elevation: 2550.00 m | Slope: 1.90 degrees
Elevation: 2547.00 m | Slope: 4.74 degrees
Elevation: 2548.00 m | Slope: 7.63 degrees
Elevation: 2551.00 m | Slope: 4.76 degrees
Elevation: 2544.00 m | Slope: 11.79 degrees
Elevation: 2540.00 m | Slope: 10.66 degrees
Elevation: 2552.00 m | Slope: 13.18 degrees
Elevation: 2554.00 m | Slope: 3.82 degrees
Elevation: 2554.00 m | Slope: 4.83 degrees
Elevation: 2556.00 m | Slope: 8.07 degrees
Elevation: 2553.00 m | Slope: 5.79 degrees
Elevation: 2553.00 m | Slope: 8.93 degrees
Elevation: 2547.00 m | Slope: 14.86 degrees
Elevation: 2545.00 m | Slope: 20.06 degrees
Elevation: 2547.00 m | Slope: 15.25 degrees
Elevation: 2544.00 m | Slope: 15.25 degrees
Elevation: 2537.00 m | Slope: 12.03 degrees
Elevation: 2534.00 m | Slope: 12.25 degrees
Elevation: 2526.00 m | Slope: 15.07 degrees
Elevation: 2519.00 m | Slope: 17.56 degrees
Elevation: 2508.00 m | Slope: 17.68 degrees
Elevation: 2500.00 m | Slope: 14.08 degrees
Elevation: 2493.00 m | Slope: 17.56 degrees
Elevation: 2482.00 m | Slope: 18.18 degrees
Elevation: 2475.00 m | Slope: 15.99 degrees
Elevation: 2468.00 m | Slope: 15.42 degrees
Elevation: 2547.00 m | Slope: 4.75 degrees
Elevation: 2548.00 m | Slope: 4.75 degrees
Elevation: 2549.00 m | Slope: 4.25 degrees
Elevation: 2551.00 m | Slope: 3.44 degrees
Elevation: 2550.00 m | Slope: 3.00 degrees
Elevation: 2549.00 m | Slope: 4.25 degrees
Elevation: 2551.00 m | Slope: 3.82 degrees
Elevation: 2554.00 m | Slope: 5.79 degrees
Elevation: 2555.00 m | Slope: 9.60 degrees
Elevation: 2552.00 m | Slope: 8.72 degrees
Elevation: 2548.00 m | Slope: 10.96 degrees
Elevation: 2546.00 m | Slope: 11.41 degrees
Elevation: 2550.00 m | Slope: 6.92 degrees
Elevation: 2553.00 m | Slope: 10.66 degrees
Elevation: 2553.00 m | Slope: 8.72 degrees
Elevation: 2558.00 m | Slope: 8.03 degrees
Elevation: 2560.00 m | Slope: 12.24 degrees
Elevation: 2552.00 m | Slope: 9.88 degrees
Elevation: 2547.00 m | Slope: 13.42 degrees
Elevation: 2542.00 m | Slope: 23.54 degrees
Elevation: 2534.00 m | Slope: 19.28 degrees
Elevation: 2534.00 m | Slope: 19.28 degrees
Elevation: 2532.00 m | Slope: 11.34 degrees
Elevation: 2529.00 m | Slope: 10.03 degrees
Elevation: 2524.00 m | Slope: 15.07 degrees
Elevation: 2514.00 m | Slope: 16.24 degrees
Elevation: 2507.00 m | Slope: 15.19 degrees
Elevation: 2498.00 m | Slope: 13.43 degrees
Elevation: 2493.00 m | Slope: 11.66 degrees
Elevation: 2486.00 m | Slope: 12.78 degrees
Elevation: 2480.00 m | Slope: 15.38 degrees
Elevation: 2470.00 m | Slope: 19.20 degrees
Elevation: 2553.00 m | Slope: 9.29 degrees
Elevation: 2554.00 m | Slope: 8.54 degrees
Elevation: 2552.00 m | Slope: 8.54 degrees
Elevation: 2552.00 m | Slope: 9.60 degrees
Elevation: 2551.00 m | Slope: 0.96 degrees
Elevation: 2548.00 m | Slope: 4.76 degrees
Elevation: 2548.00 m | Slope: 4.04 degrees
Elevation: 2555.00 m | Slope: 10.99 degrees
Elevation: 2558.00 m | Slope: 9.32 degrees
Elevation: 2557.00 m | Slope: 4.76 degrees
Elevation: 2554.00 m | Slope: 6.71 degrees
Elevation: 2552.00 m | Slope: 5.68 degrees
Elevation: 2554.00 m | Slope: 10.18 degrees
Elevation: 2562.00 m | Slope: 10.66 degrees
Elevation: 2562.00 m | Slope: 10.71 degrees
Elevation: 2562.00 m | Slope: 8.59 degrees
Elevation: 2559.00 m | Slope: 8.59 degrees
Elevation: 2553.00 m | Slope: 13.65 degrees
Elevation: 2550.00 m | Slope: 25.17 degrees
Elevation: 2539.00 m | Slope: 17.01 degrees
Elevation: 2522.00 m | Slope: 17.01 degrees
Elevation: 2523.00 m | Slope: 17.01 degrees
Elevation: 2526.00 m | Slope: 13.58 degrees
Elevation: 2527.00 m | Slope: 10.19 degrees
Elevation: 2520.00 m | Slope: 11.66 degrees
Elevation: 2515.00 m | Slope: 10.75 degrees
Elevation: 2511.00 m | Slope: 14.02 degrees
Elevation: 2503.00 m | Slope: 17.73 degrees
Elevation: 2496.00 m | Slope: 16.73 degrees
Elevation: 2486.00 m | Slope: 15.94 degrees
Elevation: 2479.00 m | Slope: 21.97 degrees
Elevation: 2557.00 m | Slope: 6.36 degrees
Elevation: 2559.00 m | Slope: 6.36 degrees
Elevation: 2551.00 m | Slope: 8.03 degrees
Elevation: 2547.00 m | Slope: 15.76 degrees
Elevation: 2552.00 m | Slope: 7.62 degrees
Elevation: 2548.00 m | Slope: 2.13 degrees
Elevation: 2553.00 m | Slope: 7.24 degrees
Elevation: 2559.00 m | Slope: 6.92 degrees
Elevation: 2555.00 m | Slope: 6.85 degrees
Elevation: 2553.00 m | Slope: 4.04 degrees
Elevation: 2552.00 m | Slope: 1.35 degrees
Elevation: 2554.00 m | Slope: 8.74 degrees
Elevation: 2561.00 m | Slope: 15.82 degrees
Elevation: 2561.00 m | Slope: 0.95 degrees
Elevation: 2569.00 m | Slope: 14.95 degrees
Elevation: 2561.00 m | Slope: 9.65 degrees
Elevation: 2553.00 m | Slope: 13.28 degrees
Elevation: 2551.00 m | Slope: 23.45 degrees
Elevation: 2539.00 m | Slope: 21.44 degrees
Elevation: 2525.00 m | Slope: 7.24 degrees
Elevation: 2516.00 m | Slope: 7.24 degrees
Elevation: 2518.00 m | Slope: 11.85 degrees
Elevation: 2520.00 m | Slope: 15.11 degrees
Elevation: 2521.00 m | Slope: 4.83 degrees
Elevation: 2521.00 m | Slope: 5.13 degrees
Elevation: 2516.00 m | Slope: 11.79 degrees
Elevation: 2510.00 m | Slope: 17.77 degrees
Elevation: 2499.00 m | Slope: 20.62 degrees
Elevation: 2488.00 m | Slope: 15.62 degrees
Elevation: 2546.00 m | Slope: 22.54 degrees
Elevation: 2540.00 m | Slope: 18.89 degrees
Elevation: 2543.00 m | Slope: 5.53 degrees
Elevation: 2550.00 m | Slope: 10.55 degrees
Elevation: 2545.00 m | Slope: 2.69 degrees
Elevation: 2550.00 m | Slope: 6.38 degrees
Elevation: 2556.00 m | Slope: 10.66 degrees
Elevation: 2553.00 m | Slope: 8.14 degrees
Elevation: 2551.00 m | Slope: 7.56 degrees
Elevation: 2553.00 m | Slope: 4.86 degrees
Elevation: 2556.00 m | Slope: 9.46 degrees
Elevation: 2554.00 m | Slope: 6.66 degrees
Elevation: 2554.00 m | Slope: 10.52 degrees
Elevation: 2563.00 m | Slope: 12.23 degrees
Elevation: 2559.00 m | Slope: 10.56 degrees
Elevation: 2551.00 m | Slope: 14.02 degrees
Elevation: 2548.00 m | Slope: 19.80 degrees
Elevation: 2539.00 m | Slope: 17.79 degrees
Elevation: 2527.00 m | Slope: 12.38 degrees
Elevation: 2520.00 m | Slope: 12.38 degrees
Elevation: 2514.00 m | Slope: 9.73 degrees
Elevation: 2511.00 m | Slope: 8.54 degrees
Elevation: 2515.00 m | Slope: 12.56 degrees
Elevation: 2517.00 m | Slope: 11.41 degrees
Elevation: 2517.00 m | Slope: 5.13 degrees
Elevation: 2512.00 m | Slope: 14.97 degrees
Elevation: 2501.00 m | Slope: 19.63 degrees
Elevation: 2491.00 m | Slope: 19.46 degrees
Elevation: 2540.00 m | Slope: 19.70 degrees
Elevation: 2546.00 m | Slope: 13.65 degrees
Elevation: 2552.00 m | Slope: 17.04 degrees
Elevation: 2550.00 m | Slope: 12.72 degrees
Elevation: 2551.00 m | Slope: 4.83 degrees
Elevation: 2551.00 m | Slope: 12.20 degrees
Elevation: 2551.00 m | Slope: 5.53 degrees
Elevation: 2548.00 m | Slope: 8.72 degrees
Elevation: 2545.00 m | Slope: 12.18 degrees
Elevation: 2553.00 m | Slope: 20.52 degrees
Elevation: 2564.00 m | Slope: 7.83 degrees
Elevation: 2561.00 m | Slope: 8.14 degrees
Elevation: 2561.00 m | Slope: 4.86 degrees
Elevation: 2559.00 m | Slope: 7.66 degrees
Elevation: 2556.00 m | Slope: 13.18 degrees
Elevation: 2551.00 m | Slope: 17.39 degrees
Elevation: 2542.00 m | Slope: 23.09 degrees
Elevation: 2534.00 m | Slope: 19.48 degrees
Elevation: 2522.00 m | Slope: 16.20 degrees
Elevation: 2518.00 m | Slope: 16.20 degrees
Elevation: 2513.00 m | Slope: 12.22 degrees
Elevation: 2511.00 m | Slope: 4.76 degrees
Elevation: 2509.00 m | Slope: 5.11 degrees
Elevation: 2509.00 m | Slope: 14.70 degrees
Elevation: 2514.00 m | Slope: 10.34 degrees
Elevation: 2509.00 m | Slope: 11.04 degrees
Elevation: 2503.00 m | Slope: 14.62 degrees
Elevation: 2556.00 m | Slope: 14.62 degrees
Elevation: 2555.00 m | Slope: 4.83 degrees
Elevation: 2558.00 m | Slope: 5.99 degrees
Elevation: 2555.00 m | Slope: 10.14 degrees
Elevation: 2551.00 m | Slope: 12.60 degrees
Elevation: 2546.00 m | Slope: 13.03 degrees
Elevation: 2539.00 m | Slope: 6.08 degrees
Elevation: 2541.00 m | Slope: 24.08 degrees
Elevation: 2558.00 m | Slope: 26.31 degrees
Elevation: 2561.00 m | Slope: 12.72 degrees
Elevation: 2561.00 m | Slope: 3.00 degrees
Elevation: 2562.00 m | Slope: 9.52 degrees
Elevation: 2560.00 m | Slope: 18.64 degrees
Elevation: 2552.00 m | Slope: 26.03 degrees
Elevation: 2540.00 m | Slope: 25.64 degrees
Elevation: 2523.00 m | Slope: 19.81 degrees
Elevation: 2513.00 m | Slope: 18.14 degrees
Elevation: 2505.00 m | Slope: 18.14 degrees
Elevation: 2503.00 m | Slope: 15.11 degrees
Elevation: 2508.00 m | Slope: 10.02 degrees
Elevation: 2510.00 m | Slope: 6.02 degrees
Elevation: 2502.00 m | Slope: 6.83 degrees
Elevation: 2506.00 m | Slope: 14.19 degrees
Elevation: 2508.00 m | Slope: 12.31 degrees
Elevation: 2556.00 m | Slope: 3.44 degrees
Elevation: 2561.00 m | Slope: 6.83 degrees
Elevation: 2558.00 m | Slope: 9.46 degrees
Elevation: 2557.00 m | Slope: 15.83 degrees
Elevation: 2555.00 m | Slope: 22.77 degrees
Elevation: 2549.00 m | Slope: 29.06 degrees
Elevation: 2534.00 m | Slope: 8.15 degrees
Elevation: 2542.00 m | Slope: 24.77 degrees
Elevation: 2548.00 m | Slope: 26.12 degrees
Elevation: 2548.00 m | Slope: 14.00 degrees
Elevation: 2556.00 m | Slope: 10.03 degrees
Elevation: 2557.00 m | Slope: 18.14 degrees
Elevation: 2548.00 m | Slope: 22.24 degrees
Elevation: 2538.00 m | Slope: 25.17 degrees
Elevation: 2524.00 m | Slope: 21.01 degrees
Elevation: 2510.00 m | Slope: 12.55 degrees
Elevation: 2501.00 m | Slope: 12.55 degrees
Elevation: 2497.00 m | Slope: 2.13 degrees
Elevation: 2503.00 m | Slope: 9.65 degrees
Elevation: 2507.00 m | Slope: 4.74 degrees
Elevation: 2503.00 m | Slope: 6.73 degrees
Elevation: 2500.00 m | Slope: 7.24 degrees
Elevation: 2568.00 m | Slope: 13.28 degrees
Elevation: 2568.00 m | Slope: 7.41 degrees
Elevation: 2567.00 m | Slope: 15.85 degrees
Elevation: 2570.00 m | Slope: 19.28 degrees
Elevation: 2565.00 m | Slope: 26.54 degrees
Elevation: 2546.00 m | Slope: 30.85 degrees
Elevation: 2534.00 m | Slope: 11.79 degrees
Elevation: 2535.00 m | Slope: 21.82 degrees
Elevation: 2535.00 m | Slope: 19.36 degrees
Elevation: 2550.00 m | Slope: 9.83 degrees
Elevation: 2553.00 m | Slope: 16.81 degrees
Elevation: 2547.00 m | Slope: 24.27 degrees
Elevation: 2535.00 m | Slope: 19.49 degrees
Elevation: 2520.00 m | Slope: 15.76 degrees
Elevation: 2514.00 m | Slope: 20.37 degrees
Elevation: 2508.00 m | Slope: 20.37 degrees
Elevation: 2504.00 m | Slope: 11.41 degrees
Elevation: 2506.00 m | Slope: 8.54 degrees
Elevation: 2505.00 m | Slope: 2.87 degrees
Elevation: 2574.00 m | Slope: 9.52 degrees
Elevation: 2576.00 m | Slope: 6.73 degrees
Elevation: 2567.00 m | Slope: 22.63 degrees
Elevation: 2552.00 m | Slope: 27.40 degrees
Elevation: 2536.00 m | Slope: 20.16 degrees
Elevation: 2530.00 m | Slope: 12.61 degrees
Elevation: 2530.00 m | Slope: 18.64 degrees
Elevation: 2545.00 m | Slope: 3.00 degrees
Elevation: 2547.00 m | Slope: 9.88 degrees
Elevation: 2546.00 m | Slope: 23.41 degrees
Elevation: 2537.00 m | Slope: 20.66 degrees
Elevation: 2521.00 m | Slope: 19.20 degrees
Elevation: 2522.00 m | Slope: 23.00 degrees
Elevation: 2521.00 m | Slope: 23.00 degrees
Elevation: 2509.00 m | Slope: 20.01 degrees
Elevation: 2548.00 m | Slope: 22.63 degrees
Elevation: 2534.00 m | Slope: 23.02 degrees
Elevation: 2525.00 m | Slope: 9.70 degrees
Elevation: 2525.00 m | Slope: 23.41 degrees
Elevation: 2539.00 m | Slope: 10.56 degrees
Elevation: 2550.00 m | Slope: 10.66 degrees
Elevation: 2550.00 m | Slope: 16.40 degrees
Elevation: 2542.00 m | Slope: 20.96 degrees
Elevation: 2537.00 m | Slope: 16.97 degrees
Elevation: 2535.00 m | Slope: 12.25 degrees

สรุป:
- Elevation มีหน่วยเป็นเมตร (m)
- Slope ที่คำนวณด้วย ee.Terrain.slope() มีหน่วยเป็นองศา (degrees)
